YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
1988,MAR,0.027724297266076246,0.5758293838862558,0.43569131832797425,0.28402646502835527,0.01001669449081799,1
1989,MAR,0.012321909896033888,0.5912322274881516,0.22347266881028927,0.12476370510396961,0.7779632721202003,1
1990,MAR,0.03195995379283789,0.6433649289099526,0.09163987138263674,0.2887523629489608,0.7813021702838063,1
1991,MAR,0.005775895263765885,0.6504739336492888,0.35691318327974275,0.1918714555765595,0.953255425709516,1
1992,MAR,0.0150173276857913,0.7831753554502368,0.30064308681672025,0.11531190926276036,0.38397328881469106,1
1993,MAR,0.028494416634578364,0.6907582938388628,0.04180064308681675,0.20085066162570886,0.3439065108514191,1
1994,MAR,0.005775895263765885,0.661137440758294,0.23794212218649524,0.0,0.981636060100167,1
1995,MAR,0.025028879476318835,0.7085308056872037,0.24115755627009627,0.13421550094517976,0.7145242070116862,1
1996,MAR,0.006546014632268002,0.8317535545023698,0.2588424437299033,0.15453686200378103,0.40400667779632715,1
1997,MAR,0.017712745475548713,0.6528436018957349,0.35530546623794224,0.1606805293005671,0.629382303839733,1
1998,MAR,0.005390835579514825,0.9419431279620851,0.6270096463022508,0.11389413988657893,0.7813021702838063,1
1999,MAR,0.051983057373892964,0.29857819905213256,0.27813504823151125,0.5609640831758034,0.4707846410684474,2
2000,MAR,0.028879476318829422,0.39218009478672977,0.48553054662379425,0.5425330812854439,0.006677796327211993,2
2001,MAR,0.04774740084713131,0.7251184834123223,0.2524115755627008,0.3506616257088844,0.24040066777963276,1
2002,MAR,0.06738544474393532,0.46682464454976325,0.4999999999999998,0.4692816635160679,0.8330550918196995,1
2003,MAR,0.053138236426646134,0.7677725118483414,0.3874598070739548,0.3733459357277882,0.1435726210350584,1
2004,MAR,0.1386214863303812,0.3495260663507107,0.7122186495176852,0.5850661625708886,0.9482470784641068,1
2005,MAR,0.06199460916442048,0.36492890995260696,0.45819935691318325,0.5708884688090743,0.20033388981636058,2
2006,MAR,0.18405852907200618,0.2677725118483414,0.41157556270096474,0.6431947069943291,0.13188647746243742,2
2007,MAR,0.07277628032345014,0.5165876777251186,0.5530546623794212,0.42485822306238186,0.37729549248747907,1
2008,MAR,0.0431266846361186,0.24763033175355442,0.41318327974276525,0.5028355387523624,0.8113522537562605,1
2009,MAR,0.20754716981132076,0.3376777251184837,0.32154340836012874,0.628544423440454,0.5926544240400666,1
2010,MAR,0.11051212938005393,0.6078199052132702,0.44855305466237927,0.5009451795841211,0.96661101836394,1
2011,MAR,0.014247208317289184,0.4940758293838865,0.2861736334405143,0.46833648393194727,0.18864774624373948,1
2012,MAR,0.09395456295725839,0.42654028436018976,0.2813504823151123,0.5387523629489603,0.330550918196995,2
2013,MAR,0.14632268001540238,0.683649289099526,0.47909967845659174,0.5236294896030249,0.954924874791319,1
2014,MAR,0.04389680400462072,0.45023696682464465,0.45337620578778126,0.3568052930056713,0.41736227045075125,1
2015,MAR,0.09780515979976898,0.36018957345971536,0.43890675241157573,0.613894139886578,0.7612687813021703,1
2016,MAR,0.038505968425105896,0.7985781990521326,0.6221864951768488,0.36672967863894135,0.3672787979966611,1
2017,MAR,0.11975356180207933,0.5639810426540288,0.43729903536977477,0.5132325141776941,0.7512520868113521,1
2018,MAR,0.12591451675009627,0.3827014218009479,0.27813504823151125,0.6535916824196599,0.5225375626043405,3
2019,MAR,0.18059299191374664,0.5296208530805684,0.5578778135048232,0.49007561436672953,0.5442404006677795,1
2020,MAR,0.030804774740084716,0.4526066350710902,0.6125401929260448,0.48204158790170126,0.9649415692821368,1
2021,MAR,0.19946091644204852,0.4206161137440758,0.23472668810289377,0.5775047258979207,0.654424040066778,1
2022,MAR,0.2760877936080093,0.4751184834123223,0.3762057877813503,0.5486767485822313,0.659432387312187,1
2023,MAR,0.18752406623026568,0.419431279620853,0.5418006430868163,0.6724952741020793,0.24373956594323865,2
2024,MAR,0.07932229495571815,0.859004739336493,0.36816720257234725,0.40028355387523673,0.8146911519198663,1
